2,1,0.1
12,1,0.1
13,1,0.141
3,2,0.1
13,2,0.1
14,2,0.141
4,3,0.1
14,3,0.1
15,3,0.141
5,4,0.1
15,4,0.1
16,4,0.141
6,5,0.1
16,5,0.1
17,5,0.141
7,6,0.1
17,6,0.1
18,6,0.141
8,7,0.1
18,7,0.1
19,7,0.141
9,8,0.1
19,8,0.1
20,8,0.141
10,9,0.1
20,9,0.1
21,9,0.141
11,10,0.1
21,10,0.1
22,10,0.141
22,11,0.1
13,12,0.1
23,12,0.1
24,12,0.141
14,13,0.1
24,13,0.1
15,14,0.1
16,15,0.1
25,15,0.141
17,16,0.1
25,16,0.1
26,16,0.141
18,17,0.1
26,17,0.1
27,17,0.141
19,18,0.1
27,18,0.1
28,18,0.141
20,19,0.1
28,19,0.1
21,20,0.1
29,20,0.141
22,21,0.1
29,21,0.1
30,21,0.141
30,22,0.1
24,23,0.1
31,23,0.1
32,24,0.141
26,25,0.1
34,25,0.1
35,25,0.141
27,26,0.1
35,26,0.1
36,26,0.141
28,27,0.1
36,27,0.1
30,29,0.1
37,29,0.1
38,29,0.141
38,30,0.1
33,32,0.1
39,32,0.1
40,32,0.141
34,33,0.1
40,33,0.1
41,33,0.141
35,34,0.1
41,34,0.1
36,35,0.1
42,36,0.141
38,37,0.1
44,37,0.1
45,37,0.141
45,38,0.1
40,39,0.1
47,39,0.1
48,39,0.141
41,40,0.1
48,40,0.1
43,42,0.1
49,42,0.1
50,42,0.141
44,43,0.1
50,43,0.1
45,44,0.1
51,44,0.141
51,45,0.1
52,46,0.1
53,46,0.141
48,47,0.1
54,47,0.1
55,47,0.141
55,48,0.1
56,48,0.141
50,49,0.1
59,49,0.1
53,52,0.1
60,52,0.1
61,52,0.141
54,53,0.1
61,53,0.1
55,54,0.1
62,54,0.141
56,55,0.1
62,55,0.1
63,55,0.141
57,56,0.1
63,56,0.1
64,56,0.141
58,57,0.1
64,57,0.1
65,57,0.141
59,58,0.1
65,58,0.1
66,59,0.141
61,60,0.1
69,60,0.1
70,60,0.141
70,61,0.1
63,62,0.1
71,62,0.1
72,62,0.141
64,63,0.1
72,63,0.1
73,63,0.141
65,64,0.1
73,64,0.1
67,66,0.1
74,66,0.1
75,66,0.141
68,67,0.1
75,67,0.1
76,67,0.141
76,68,0.1
70,69,0.1
77,69,0.1
78,69,0.141
78,70,0.1
79,70,0.141
72,71,0.1
80,71,0.1
81,71,0.141
73,72,0.1
81,72,0.1
82,72,0.141
82,73,0.1
83,73,0.141
75,74,0.1
85,74,0.1
86,74,0.141
76,75,0.1
86,75,0.1
87,75,0.141
87,76,0.1
78,77,0.1
88,77,0.1
89,77,0.141
79,78,0.1
89,78,0.1
90,78,0.141
80,79,0.1
90,79,0.1
91,79,0.141
81,80,0.1
91,80,0.1
92,80,0.141
82,81,0.1
92,81,0.1
93,81,0.141
83,82,0.1
93,82,0.1
94,82,0.141
84,83,0.1
94,83,0.1
95,83,0.141
85,84,0.1
95,84,0.1
96,84,0.141
86,85,0.1
96,85,0.1
97,85,0.141
87,86,0.1
97,86,0.1
98,86,0.141
98,87,0.1
89,88,0.1
90,89,0.1
91,90,0.1
92,91,0.1
93,92,0.1
94,93,0.1
95,94,0.1
96,95,0.1
97,96,0.1
98,97,0.1
